# Decisions on upstream (knighthat/Kreate) commits, so scripts/upstream_check.py
# stops re-asking about the ones we have already thought about.
#
#   <upstream sha>	<verdict>	<note>
#
# verdict: taken | skipped | deferred
# Tab-separated. Lines starting with # are ignored.

ac632f96c	taken	bitmap crash fix; applied as the net of ac632f96c+7b891f4d3
7b891f4d3	taken	maintainer-simplified final form, this is what we run
9ffefe7b4	taken	cherry-picked as-is
4d138aef0	taken	cherry-picked as-is
0fd644695	skipped	upstream's own issue-template layout; our Repository.kt points elsewhere
1db6960bf	skipped	README badges for upstream's release channels
4717a759c	skipped	README badges for upstream's release channels
73c0bbc96	skipped	README badges for upstream's release channels
f02577e86	skipped	README credit for upstream
34b3c1ce5	skipped	cosmetic gradle task metadata, no behaviour change
d10b1a1d3	skipped	compileSdk churn; we pin our own
52c50cdc1	skipped	compileSdk churn; we pin our own
06cebf2e3	skipped	upstream toolchain revert; our gradle wrapper is pinned separately
0ba70f52b	skipped	upstream dependency revert; ours is pinned separately
37fb5467b	skipped	upstream version bump; we use Debian-style backport versioning
53c2218ff	skipped	upstream version bump; we use Debian-style backport versioning
9d1b3f45b	skipped	upstream version bump; we use Debian-style backport versioning
354b75081	skipped	we already init CipherDeobfuscator in MainApplication.onCreate
c78d4e5a4	taken	assets/po_token.html only; the 400KB solver/* + player_*.json are referenced by nothing in either fork
a86f667ae	merged-reverted	cipher rewrite kept OUT and its 3 new files deleted: the whole package serves YTPlayerUtils, which has zero callers here (our resolver is AndroidVrStreamHelper). NB VISIONOS does exist in our pinned metrolist submodule, so it would have compiled -- the reason is deadness, not a build break. Also dropped assets/solver/*.js (~400KB) + player_{configs,dates}.json, which nothing then references.
67778f8fa	merged-reverted	submodule pointers resolved to ours; upstream's WEB_REMIX-first resolver stays out.
cad4e47e8	skipped	same; and a86f667ae reverts the symlinks anyway
0ed7e3925	merged	came in with e22496d43 as expected
e22496d43	merged-fixed	YouTubeLogin evaluateJavascript rewrite taken. Added takeIf(String::isNotBlank) guards: YOUTUBE_VISITOR_DATA defaults to CHROME_WINDOWS_VISITOR_DATA, so blanking it on a 'null' JS result would break PO-token minting. Same guard on the new YouTube.* startup assignment in MainApplication.
8ba1b8afa	merged-fixed	Home*ViewModel refactor taken. Added the missing distinctBy in HomeAlbums/HomeArtists/HomeLibraryViewModel (confirmed crash: items(key = Album::id) over online+local), Reverted a first attempt to re-wire importYTMLikedAlbums/importYTMSubscribedChannels for offline persistence: isYouTubeSyncEnabled() gates on YOUTUBE_PLAYLISTS_SYNC (not the albums/artists prefs) so it mostly no-ops, its un-flag pass nulls bookmarkedAt for anything not in FEmusic_liked_albums, and it does blocking Room writes on Main. Synced YT albums/artists are therefore online-only now -- a real regression needing a proper fix.
789b5d7f8	merged-reverted	DatabaseInitCallback kept OUT. Confirmed: schema 36 columns really are snake_case, so the DELETEs execute; From35To36Migration strips the local: prefix from songs.id without touching song_playlist_map/lyrics/formats/playback_history, so every local file's playlist rows would be wiped on next open. Needs a repair migration (36->37) before the cleanup can ship.
b50561cf8	merged-partial	HomeQuickPicks hunk (ArtistItem.Thumbnail sizeDp) came in; the real chart fix still needs the modules/innertube bump, which needs SSH access.

# 2026-09-04: merged upstream/main @ f02577e86 (commit c99d9c31b) instead of continuing
# per-commit triage. The merge base is now reset, so rows above are historical: they
# record how each previously-deferred change was resolved *inside* the merge.
# Future syncs: scripts/upstream_merge.py, see docs/upstream-merge.md.
